"Snippet_id","Post_id"
"501","396"
"502","649"
"503","245"
"504","789"
"505","1011"
"506","841"
"507","881"
"508","390"
"509","104"
"510","248"
"511","559"
"512","1140"
"513","857"
"514","1064"
"515","655"
"516","596"
"517","679"
"518","499"
"519","226"
"520","468"
"521","76"
"522","279"
"523","128"
"524","453"
"525","405"
"526","689"
"527","612"
"528","999"
"529","433"
"530","298"
"531","41"
"532","930"
"533","60"
"534","196"
"535","199"
"536","233"
"537","1011"
"538","23"
"539","399"
"540","380"
"541","347"
"542","487"
"543","868"
"544","117"
"545","54"
"546","998"
"547","212"
"548","51"
"549","278"
"550","401"
"551","14"
"552","223"
"553","686"
"554","324"
"555","296"
"556","505"
"557","803"
"558","40"
"559","142"
"560","216"
"561","283"
"562","530"
"563","12"
"564","388"
"565","987"
"566","892"
"567","712"
"568","170"
"569","254"
"570","879"
"571","164"
"572","914"
"573","1061"
"574","1002"
"575","818"
"576","7"
"577","254"
"578","749"
"579","718"
"580","838"
"581","813"
"582","611"
"583","514"
"584","464"
"585","881"
"586","754"
"587","252"
"588","758"
"589","696"
"590","144"
"591","176"
"592","639"
"593","211"
"594","824"
"595","1072"
"596","686"
"597","272"
"598","187"
"599","556"
"600","112"
"601","726"
"602","936"
"603","73"
"604","317"
"605","1063"
"606","876"
"607","834"
"608","1089"
"609","1141"
"610","500"
"611","126"
"612","57"
"613","482"
"614","946"
"615","365"
"616","596"
"617","778"
"618","772"
"619","555"
"620","125"
"621","832"
"622","311"
"623","881"
"624","1095"
"625","5"
"626","117"
"627","46"
"628","541"
"629","542"
"630","710"
"631","815"
"632","746"
"633","40"
"634","421"
"635","255"
"636","167"
"637","117"
"638","927"
"639","176"
"640","373"
"641","987"
"642","1107"
"643","996"
"644","687"
"645","1006"
"646","243"
"647","738"
"648","564"
"649","710"
"650","1090"
"651","892"
"652","575"
"653","756"
"654","885"
"655","248"
"656","829"
"657","543"
"658","753"
"659","603"
"660","959"
"661","170"
"662","1064"
"663","257"
"664","739"
"665","711"
"666","203"
"667","86"
"668","707"
"669","142"
"670","464"
"671","24"
"672","1072"
"673","171"
"674","1112"
"675","918"
"676","342"
"677","233"
"678","377"
"679","212"
"680","481"
"681","159"
"682","629"
"683","970"
"684","868"
"685","384"
"686","614"
"687","1136"
"688","915"
"689","763"
"690","433"
"691","953"
"692","625"
"693","740"
"694","682"
"695","46"
"696","10"
"697","554"
"698","575"
"699","1062"
"700","192"
"701","953"
"702","139"
"703","89"
"704","684"
"705","994"
"706","693"
"707","976"
"708","1099"
"709","791"
"710","3"
"711","1038"
"712","244"
"713","818"
"714","848"
"715","352"
"716","196"
"717","865"
"718","634"
"719","501"
"720","163"
"721","1042"
"722","1100"
"723","1011"
"724","944"
"725","554"
"726","327"
"727","109"
"728","1066"
"729","297"
"730","897"
"731","537"
"732","505"
"733","489"
"734","35"
"735","935"
"736","151"
"737","815"
"738","833"
"739","578"
"740","782"
"741","483"
"742","1115"
"743","899"
"744","615"
"745","998"
"746","921"
"747","924"
"748","606"
"749","27"
"750","1104"
"751","663"
"752","271"
"753","1056"
"754","121"
"755","308"
"756","949"
"757","385"
"758","296"
"759","220"
"760","543"
"761","1144"
"762","121"
"763","654"
"764","391"
"765","1100"
"766","271"
"767","753"
"768","390"
"769","465"
"770","216"
"771","197"
"772","1107"
"773","126"
"774","870"
"775","1050"
"776","94"
"777","861"
"778","561"
"779","639"
"780","469"
"781","570"
"782","882"
"783","898"
"784","357"
"785","435"
"786","370"
"787","536"
"788","380"
"789","201"
"790","686"
"791","639"
"792","721"
"793","1031"
"794","253"
"795","298"
"796","732"
"797","1002"
"798","2"
"799","459"
"800","1142"
"801","706"
"802","896"
"803","1105"
"804","464"
"805","28"
"806","51"
"807","795"
"808","1070"
"809","976"
"810","88"
"811","887"
"812","1140"
"813","1134"
"814","1113"
"815","19"
"816","795"
"817","69"
"818","349"
"819","402"
"820","21"
"821","527"
"822","990"
"823","982"
"824","808"
"825","919"
"826","765"
"827","959"
"828","468"
"829","475"
"830","642"
"831","1032"
"832","972"
"833","1038"
"834","783"
"835","203"
"836","137"
"837","509"
"838","613"
"839","746"
"840","30"
"841","530"
"842","693"
"843","84"
"844","800"
"845","646"
"846","943"
"847","715"
"848","855"
"849","945"
"850","272"
"851","676"
"852","958"
"853","123"
"854","921"
"855","985"
"856","158"
"857","88"
"858","340"
"859","955"
"860","902"
"861","468"
"862","378"
"863","407"
"864","1031"
"865","288"
"866","831"
"867","780"
"868","472"
"869","505"
"870","73"
"871","1113"
"872","861"
"873","337"
"874","986"
"875","376"
"876","258"
"877","48"
"878","959"
"879","622"
"880","15"
"881","769"
"882","1075"
"883","365"
"884","1100"
"885","688"
"886","429"
"887","159"
"888","532"
"889","993"
"890","474"
"892","616"
"893","516"
"894","868"
"895","280"
"896","134"
"897","744"
"898","1102"
"899","666"
"900","188"
"901","470"
"902","648"
"903","260"
"904","170"
"905","740"
"906","529"
"907","950"
"908","207"
"909","250"
"910","1063"
"911","1060"
"912","62"
"913","113"
"914","1127"
"915","892"
"916","1044"
"917","683"
"918","1010"
"919","700"
"920","808"
"921","72"
"922","231"
"923","1098"
"924","633"
"925","437"
"926","763"
"927","835"
"928","897"
"929","376"
"930","958"
"931","747"
"932","186"
"933","745"
"934","356"
"935","27"
"936","6"
"937","750"
"938","184"
"939","361"
"940","217"
"941","977"
"942","612"
"943","540"
"944","957"
"945","398"
"946","837"
"947","888"
"948","1009"
"949","486"
"950","158"
"951","1031"
"952","636"
"953","409"
"954","123"
"955","16"
"956","1086"
"957","373"
"958","997"
"959","707"
"960","738"
"961","154"
"962","1075"
"963","810"
"964","703"
"965","552"
"966","963"
"967","143"
"968","529"
"969","1029"
"970","842"
"971","62"
"972","493"
"973","1057"
"974","717"
"975","524"
"977","15"
"978","959"
"979","111"
"980","346"
"981","754"
"982","374"
"983","1117"
"984","308"
"985","305"
"986","273"
"987","136"
"988","812"
"989","1003"
"990","85"
"991","391"
"992","448"
"993","214"
"994","631"
"995","218"
"996","76"
"997","652"
"998","941"
"999","641"
"1000","800"
